stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0,0,0
21Day,4.02,1.34,0,0,1.34,0,0,0,1.34,0,1.34,0,14.72,1.34,0,0,0,2.68,4.02,0,0
3Month,0.32,0,0,0,0.96,0,0,0,0,0,0.32,0,0.32,0,0,0,0,0,0,0,0.32
22Month,0.55,0,1.64,0.55,18.04,1.64,0.55,0.55,0,1.64,1.09,1.09,0.55,0,1.09,2.73,0.55,0,0,0,0
