stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,143.02,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,5.35,7.49,6.42,0,2.14,0,0,6.42,1.07,0,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,1.34,5.35,2.68,1.34,0,0,0
3Month,0,0,0.32,2.88,0,0.32,0.96,18.24,0.32,0.32,8.32,0.64,0.64,1.6,0.32,2.56,0,0.32,0,0,0.64,0.64,0.64,0,0,0,0.32,0.64,0.96
22Month,0,0.55,1.09,1.64,0,1.09,3.28,38.27,1.64,0.55,4.92,0,1.09,3.83,0,0,0,0,0.55,0,0,3.28,0,0.55,0,0,0,0,0
