stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,2.14,0,0,0
21Day,0,2.68,2.68,1.34,0,0,1.34,1.34,0,0,0,0,0,4.02,0,2.68,0
3Month,0.64,1.6,0.96,0,0,0,1.6,0,0.64,0.32,0,0.32,0,0,0,0.32,0.32
22Month,0,1.64,0.55,0,0.55,0.55,10.93,0,0.55,0,1.09,0.55,0.55,0,0.55,2.73,0.55
