stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,33.16,0,0,0,0,0,3.21,0,0,0,11.77,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,1.34,20.08,0,0,0,0,0,1.34,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,1.6,4.8,1.28,2.56,0.64,0.64,0.32,1.28,0.64,3.84,0.64,0,0,0,0,0.32,2.56,0.32,0,0.64,0.64,0.96
22Month,0,0.55,1.64,2.19,1.09,19.13,0.55,1.09,0,1.09,3.83,1.64,0,0,0,0.55,0.55,0.55,0.55,0,0.55,0,0,0
