stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0
3Month,0.96,0.32,0.96,0.32,0.96,0,17.92,0.32,11.2,0.32
22Month,0,0,0.55,0,0.55,0,0,0,0,0
