stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,241.1,16.35,2366.03,0,0,0,0,0,0,4.09,0,0,0,0,8.17,8.17,0,261.53,0,0,0,0,44.95,993,4.09,16.35,0,0,0,0,0,0,0,0,0
72hpf,20.33,2.14,662.2,2.14,5.35,0,0,0,0,0,0,0,0,0,1.07,52.42,1.07,342.33,0,2.14,4.28,0,57.77,59.91,0,180.79,0,0,28.88,0,0,2.14,0,0,0
21Day,8.03,4.02,161.96,0,5.35,0,0,0,0,0,0,0,1.34,2.68,0,37.48,4.02,271.72,0,0,13.39,0,18.74,17.4,0,99.05,8.03,2.68,2.68,1.34,2.68,4.02,0,0,1.34
3Month,0.96,1.28,22.4,0.32,0,0.32,0.64,2.56,0.32,0,9.28,1.6,0.32,4.8,0,29.44,3.2,88.63,0.96,0.32,3.2,0.64,0.64,0.32,0.32,0.96,0.96,62.39,0.64,0,0,0,2.24,4.8,1.28
22Month,0.55,1.64,7.11,0,0,0,0,3.83,3.83,0,25.15,1.09,0,3.28,0,2.73,2.19,19.13,1.64,1.64,2.19,0,0.55,1.64,1.64,0,0,14.76,1.09,0,0,0.55,3.83,0,0.55
