stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,16.35,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,5.35,60.98,0,0,0,0,0,0,0,0,0,0,1.07,7.49,0,5.35,0,0,0,1.07,49.21,13.91,0,0,4.28,0,0,0,4.28,0,1.07,0,0,0
21Day,1.34,2.68,0,6.69,37.48,6.69,0,2.68,0,0,0,0,0,5.35,1.34,2.68,6.69,2.68,12.05,0,0,2.68,0,37.48,4.02,0,0,4.02,4.02,0,1.34,1.34,0,0,0,0,1.34
3Month,0.32,4.8,3.84,212.13,15.68,0,1.6,0,22.4,11.2,0.32,67.19,14.72,1.28,25.28,28.8,9.28,10.56,11.52,1.6,0,5.12,8,3.84,0.32,3.2,1.6,0.64,6.4,0.32,67.19,1.6,0.32,1.28,4.48,2421.06,9.92
22Month,1.09,2.19,0,59.59,3.83,0,0,0,2.19,1.64,0.55,55.76,0.55,0.55,6.56,2.73,0.55,4.37,3.83,0,3.28,0.55,2.19,0.55,0,1.09,0,0,0,0,80.9,1.09,0,0,0,12.57,14.21
