stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,1.34,0,0,0
3Month,0,0.32,0.32,0,0,0.96,0,0,1.6,0,0,0.32,0,0,0,0,0,0,0,0.32,0.32
22Month,2.73,1.64,3.83,2.73,5.47,18.59,0.55,4.37,14.76,0.55,2.19,7.65,1.09,1.09,0,0.55,3.83,0,0.55,0.55,3.28
