stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.38,4.09,4.09,0,0,0,0,12.26,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,25.67,0,0,0,0,0,1.07,1.07,1.07,0,0,0,0,0
21Day,1.34,0,0,16.06,0,0,0,1.34,0,0,2.68,2.68,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0,22.4,0.64,0.64,1.92,7.04,0,1.28,6.08,0,0.32,0.32,6.08,3.52,0.96,0,0.64,0.32,0,0,0,0.64,0.32,0.32,0.32,1.92
22Month,0,0,0.55,9.84,0.55,1.09,2.19,8.75,1.09,6.56,2.19,1.09,0.55,0,0,8.2,0.55,0.55,0,0,0,0,0,0,0,0,0,1.09
