stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,16.35,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,0,0,0,0,0,0,0,0,0,27.81,0,0,5.35,0,0,29.95,0,0,1.07,0,0,0
21Day,4.02,0,0,2.68,1.34,0,0,0,0,0,0,0,0,36.14,0,1.34,0,0,1.34,54.88,2.68,0,0,0,0,0
3Month,0,0.32,0.32,2.24,0,0.32,1.6,0,10.88,0.96,2.24,0.96,0.32,0.64,0.32,0,0,0.64,0,0,0.32,4.8,0,0.32,3.2,0.32
22Month,0,0,0,0.55,0,0.55,0.55,1.09,24.6,0.55,3.28,0.55,1.09,1.64,0,0,0,0.55,0,0,0,1.64,0,0,0,1.09
