stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,2.14,1.07,0,0,9.63,2.14,0,0,1.07,1.07,0,0
21Day,0,0,2.68,0,0,0,0,1.34,1.34,0,0,1.34,2.68,0,1.34,0,1.34,0,0,1.34
3Month,0,0.64,1.28,0.32,0,3.2,0.32,0,0,1.28,0,0.32,0.64,0,0,9.6,0,0,2.56,0
22Month,0,1.09,1.09,0,0.55,14.21,1.09,0,0,0,0.55,0,0,0,0,0,0.55,0,0,0
