stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,19.26,2.14,1.07,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,24.09,1.34,0,1.34,0,1.34,0,0,0,0
3Month,0,0.64,0,7.36,0.32,0.96,1.28,0,11.2,1.92,0,4.48,1.28,2.24,1.28,0.96,0,0.96,5.44,0,0.64,0.96,1.6,0,0.32,0.96,334.99,3.52
22Month,0,0,0.55,2.19,0,0,1.09,0.55,17.49,1.64,1.64,0,0.55,0,1.09,0,1.09,0,8.75,0,3.83,0,0.55,0.55,0,0,0,0
