stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,1.07,0,9.63,1.07,1.07,0,0,1.07,0,0,0
21Day,1.34,12.05,1.34,0,1.34,2.68,0,1.34,8.03,5.35,0,9.37,2.68,0,1.34,0,6.69,1.34,0,0
3Month,0,0.96,0,0.32,0,0.96,0.32,0.64,0,0,0.32,0,0,0,0,1.92,0,0,0.32,0.64
