stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,4.09,0,0,4.09,0,0,0,0
72hpf,0,1.07,1.07,1.07,0,3.21,2.14,1.07,0,1.07,0
21Day,1.34,0,2.68,2.68,2.68,2.68,1.34,0,1.34,1.34,1.34
