stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell
21Day,5.35,0,0,0,1.34,0,0,0,0
3Month,1.6,0.64,0,0.32,0,0.32,0,0.64,0.32
22Month,0.55,2.73,0.55,0,0,0,0.55,0,0
