stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,5.35,0,0,0,0,0,0,0,5.35,0,0,13.91,0,1.07,0,0,0,0,32.09,2.14,0,0,0,1.07,0,0,1.07,0,0,0,0
21Day,6.69,0,143.22,1.34,0,4.02,0,0,1.34,0,17.4,1.34,0,49.53,4.02,5.35,0,0,0,0,14.72,4.02,0,0,0,0,2.68,0,0,2.68,0,0,1.34
3Month,0,3.52,159.33,0,0.64,0,0.64,1.92,6.72,2.88,3.84,3.52,0,123.82,36.47,3.84,1.6,0.32,0.96,0.32,1.28,0,0.96,0.64,0,0.32,1.28,3.84,0.32,0,2.24,1.6,75.19
22Month,0,5.47,63.41,0,1.09,0,0.55,3.28,9.84,1.64,12.03,1.64,0.55,48.65,24.6,3.28,0,1.09,0.55,0,1.09,0.55,1.09,1.09,0.55,0,0,0,0.55,0,0,0,30.61
