stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,1.07,1.07,5.35,0,0,4.28,0,0,0
21Day,2.68,0,0,0,12.05,0,4.02,0,2.68,1.34,0,1.34,1.34,0,0
3Month,0,0.32,0,0,0,0,0,0,0,0,0.32,0,0.32,2.24,0.32
22Month,0,0,0.55,1.09,3.28,0.55,0,0,0,0,0,0,0,22.41,0
