stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,2.68,4.02,5.35,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03
3Month,2.24,0.64,21.44,0.96,2.88,2.56,0,39.35,6.08,0,47.03,3.2,39.67,5.44,6.4,1.28,0,0.96,1.6,0.64,0.64,1.28,0.32,2.88,13.44,0,0.96,1523.92,12.48
22Month,0,1.09,0.55,0,1.64,7.11,0,121.36,0.55,0,16.4,0.55,3.83,0,1.64,0,4.37,1.09,0,0,0.55,1.09,0,0,16.95,0.55,0,9.29,3.83
