stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0
72hpf,0,0,0,0,0,1.07,0,0,1.07,0
21Day,0,0,1.34,0,1.34,0,1.34,1.34,4.02,0
3Month,0.32,0.64,0,0.32,0,0,0.32,0,0,0.32
22Month,0,0,0,0,0,0,0,0,0,1.09
