stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,2.14,3.21,4.28,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,2.68,0,1.34,0,13.39,0,1.34,0,5.35,0,0,0
3Month,0,0,5.76,0.32,0.32,0,0.64,0,0,0.64,3.84,0,4.8,0.32,0,0,0.64,1.92,0.64,1.28
22Month,0,0.55,0.55,0,0.55,2.19,6.01,0.55,0,0,0.55,1.64,2.73,0,0,0,0,0,0,0
