stage,Epithelial_cell,Erythroid_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,16.35,0,0,0
72hpf,1.07,0,0,8.56,3.21,0,0,1.07
21Day,0,1.34,1.34,6.69,1.34,1.34,2.68,1.34
