stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,12.26,0,16.35,53.12,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,3.21,0,4.28,1.07,0,0,0,0,0,0,0,0,0,0,10.7,0,267.45,19.26,1.07,1.07,0,5.35,1.07,0,1.07,1.07,1.07,1.07,0,0,0
21Day,4.02,1.34,1.34,17.4,2.68,26.77,2.68,0,1.34,0,5.35,0,4.02,5.35,2.68,16.06,4.02,17.4,4.02,584.94,13.39,0,1.34,0,8.03,17.4,1.34,5.35,40.16,210.15,0,0,0,1.34
3Month,0,0.32,1.28,9.28,0,0,0,2.24,0.64,0,3.52,0.96,0.32,1.92,0.32,1.92,3.2,6.4,0.96,15.04,0.32,1.92,0,0,0,0,44.79,0.32,0,1.6,1.28,0.32,11.84,1.6
22Month,0,1.09,0,0.55,0,0,0,0,3.28,0,8.2,0,0,1.09,0,0,0,3.28,0.55,31.16,0,1.64,0.55,0.55,0,0,10.93,12.03,2.19,0.55,2.73,0,0,0
