stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Radial_glia,Spermatocyte,T_cell
72hpf,13.91,1.07,0,0,0,0,1.07,0,2.14,0,0,1.07,0,0
21Day,5.35,0,0,0,0,1.34,2.68,0,1.34,0,0,0,0,1.34
3Month,0,0.64,0.32,0.32,0.32,0.32,0,0.32,0,0.32,0,0,0.32,0.64
22Month,0,0,3.83,0.55,1.09,0,0.55,0,0,0,0.55,0,0,0
