stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,67.4,0,0
21Day,1.34,1.34,2.68,0,0,0,0,1.34,1.34,1.34,1.34,2.68,0,5.35,4.02,0,2.68,4.02,1.34,331.96,2.68,2.68
3Month,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0.32,0,0,0,0.32,0,0
22Month,0,0,0,2.73,1.09,5.47,1.64,0,1.09,0.55,1.64,0.55,0.55,0,0,0,1.09,0,0,328.54,0,0
