stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,4.28,0,0,0,0,0,1.07,0,0,0,2.14,1.07,0,0,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,4.02,0,1.34,0,4.02,0,0,0,0,0,0
3Month,0.32,0.32,2.24,1.6,1.28,0.32,1.6,1.28,0.32,0.32,0.32,0,0.32,7.04,0,0.32,25.28,0.64
22Month,0,0,0.55,2.19,0,0,0,1.09,0,0,0,0,0,0,1.64,0,0,0
