stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,12.26,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,12.26,0,0,0,4.09,12.26,138.94,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,8.56,0,0,0,0,0,0,0,0,0,0,7.49,14.98,0,10.7,0,0,0,0,31.02,23.54,0,0,5.35,0,0,9.63,0,0,0,0,0
21Day,5.35,2.68,0,30.79,14.72,0,6.69,0,2.68,0,0,1.34,13.39,0,0,9.37,10.71,18.74,0,0,0,0,9.37,20.08,1.34,5.35,5.35,1.34,0,2.68,2.68,0,0,0,0
3Month,0,0.32,0.32,9.28,0,0,0.32,0.32,2.24,0,16.96,0.32,0.96,3.52,1.28,5.76,2.88,3.84,0.32,0,0.32,0,0.32,0,0.32,1.6,0.64,0,1.28,0.32,0,0,1.6,0.64,1.28
22Month,0,0,0,3.83,0,0.55,0,0,6.01,1.64,37.17,1.09,1.64,4.37,0,1.64,4.92,1.09,0,0.55,0,0,0,0.55,0,2.73,0,0,0.55,0,0,0.55,0,0,0.55
