stage,Epithelial_cell,Hepatocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
72hpf,4.28,0,3.21,1.07,1.07,2.14,0
22Month,0,1.09,0,0,0,0,5.47
