stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,5.35,0,4.28,0,0,0,0,0,0,0,0,0,1.07,5.35,1.07,6.42,0,0,1.07,662.2,24.61,0,3.21,12.84,0,0,4.28,0,0,0,0,0,0
21Day,2.68,1.34,2.68,0,4.02,0,0,1.34,0,0,0,0,0,2.68,0,1.34,1.34,4.02,0,0,0,248.97,17.4,2.68,1.34,2.68,6.69,0,2.68,2.68,2.68,1.34,0,0,0
3Month,0,0.96,4.48,0.32,0,0,0,0.96,0.96,0,3.84,1.6,0,1.28,0.64,0.96,2.56,1.6,0,0.32,0.64,34.87,0.64,6.08,0.96,0,0.32,19.52,0,0,0,0.32,0.64,0.32,1.6
22Month,0,3.28,4.92,0,0,0.55,0.55,0,5.47,0.55,43.19,1.64,0.55,3.83,0.55,1.09,1.64,3.28,1.09,0,0,12.03,0,4.37,6.01,0,0,21.32,1.09,0,0,0,0,0,1.64
