stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,9.63,0,0,1.07,5.35,5.35,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,4.02,1.34,0,0,20.08,77.63,0,0,0,1.34
3Month,0,0,0.64,0,0,0.64,14.08,0.32,0,0.96,0.32,0.64,0,0,0.32,0,0,0,0,0,0,0,0,0.32,0.32
22Month,0.55,0.55,2.19,0.55,0.55,2.73,51.93,0,0.55,3.83,0,1.64,0.55,1.64,0,0.55,0,0.55,0,0.55,0,0.55,0.55,0,0
