stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,2.14,0,0,0,0,0,0,6.42,1.07,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,0,0,0,2.68,1.34,0,0
3Month,0.64,0.32,0.32,2.24,0.32,6.08,0.32,0.32,0.96,0.32,0.32,0.32,0.32,0,0,0.32,1.92
22Month,1.09,0,0,7.11,0.55,5.47,0,0.55,0.55,1.64,0,0,0,0.55,0,0,0
