stage,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,4.09,8.17,0,12.26,0,0
72hpf,0,0,0,0,1.07,3.21,2.14,0
21Day,0,0,0,0,0,2.68,0,1.34
3Month,0.64,0.32,0,0,0,0,0,0
22Month,0.55,0.55,0,0,0,0,0,0
