stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,8.17,0,0,0,0,0,102.16,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,0,0,0,0,0,0,1.07,0,1.07,0,2.14,3.21,2.14,6.42,0,1.07,0,0,12.84,11.77,0,1.07,0,0,0,0,0,0
21Day,4.02,0,0,4.02,2.68,0,1.34,0,0,0,1.34,0,2.68,1.34,0,0,1.34,5.35,0,0,0,0,2.68,4.02,0,2.68,0,0,0,0,0,0
3Month,0,0.32,0.64,8.64,0,0,0.32,0.96,2.56,0,14.4,2.56,0.96,9.92,0.96,3.52,6.72,0.96,0.64,0,0.64,0.32,0.64,0.32,0.32,0.32,0.64,2.24,0.32,0.32,0.64,4.16
22Month,0,2.19,0,2.19,0,0.55,0.55,1.64,1.64,2.19,26.24,4.37,4.37,7.65,0,0.55,6.56,3.28,0,1.64,0,0,0,0.55,0.55,0,0,1.09,0,0,0,0.55
