stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,69.47,4.09,24.52,0,0,0,0,16.35,110.33,0,0,4.09,0,0,0,0,4.09,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,29.95,0,5.35,0,0,0,0,6.42,6.42,0,0,2.14,0,0,0,0,0,0,0
21Day,1.34,0,0,14.72,0,0,2.68,0,0,0,1.34,1.34,0,0,1.34,73.62,1.34,17.4,0,0,0,0,6.69,1.34,0,0,10.71,2.68,1.34,2.68,2.68,0,0,0
3Month,0,0.32,0,2.56,0,0.64,0,0.32,0.32,0,20.16,0.32,0,1.6,0.32,1.28,0.64,4.8,0.96,0,0,0.64,0,0,0,0,0,8.32,0,0,0,0,1.92,0.32
22Month,0.55,1.64,2.19,6.01,0,0.55,1.64,1.09,2.19,4.92,592.03,6.01,3.83,27.33,0,1.09,7.65,19.68,0,12.03,1.09,0,0.55,0.55,1.09,0.55,0,12.57,0.55,0,0,0,0,2.19
