stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
21Day,4.02,5.35,0,0,1.34,1.34,4.02,2.68,1.34,1.34,0,58.9,0,1.34
3Month,0,0,0,0.64,0,7.36,0,0.32,0,0,0,0.96,0.64,0
22Month,0,0,0.55,3.28,0,16.4,0,0,0,0,0.55,0,0,0
