stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,3.21,0,0,1.07,0,0,1.07,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,5.35,5.35,0,0,0,0,0,0,0,0
3Month,0.32,0,0.32,4.16,0.32,0.96,1.92,6.4,1.92,0.64,0.32,0.64,1.6,0.96,4.8,0.64,0.64,0.64,2.24,0,0,0.32,0,1.28,47.67,0.32,174.37,0.64
22Month,0,0.55,0,0,0,0.55,1.09,8.75,0,0.55,1.64,0,0.55,1.09,3.28,0,0,0,1.64,0.55,0.55,0,0,0,7.11,0,0.55,0.55
