stage,Cardiomyocyte,Epithelial_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,4.09,0,0,0,4.09,20.43,0,0
72hpf,0,2.14,0,0,2.14,1.07,4.28,0,1.07
21Day,1.34,0,0,1.34,0,0,1.34,1.34,0
3Month,0,0.32,0.32,0.32,0,0,0,0,0
