stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,0,0,0,8.17,98.07,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,2.14,0,4.28,1.07,0,0,0,0,0,0,0,0,0,0,0,3.21,1.07,9.63,0,0,2.14,138,51.35,11.77,0,0,4.28,0,0,2.14,0,0,0
21Day,2.68,1.34,0,8.03,1.34,1.34,0,2.68,0,1.34,0,0,0,2.68,0,4.02,1.34,2.68,33.46,0,0,1.34,44.17,28.11,8.03,1.34,0,1.34,1.34,4.02,0,0,0,5.35
3Month,0,0.32,0,5.76,0,0,0,0,0.96,1.6,0,4.8,0.96,0.32,1.6,0.96,2.56,2.56,2.88,0.64,0,0.32,0.64,0.64,0,0.32,8.96,0.32,0,0,0,0.64,1.28,2.88
22Month,0,1.09,0.55,2.73,0,0,0.55,0.55,0,1.64,1.64,21.32,1.09,2.19,1.64,0,0.55,2.19,2.73,0,0.55,0,0,0,0,0,2.73,0,0.55,0,0,0,0,1.09
