stage,Cardiomyocyte,Epithelial_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,20.43,0,0,0
72hpf,1.07,0,0,0,0,1.07,1.07,0,9.63,0,0,0,0
21Day,0,5.35,1.34,1.34,0,1.34,1.34,4.02,6.69,1.34,1.34,1.34,0
3Month,0,0.32,0,0,0.32,0,0,0,0,0,0,0,0.32
