stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,155.28,8.17,0,118.51,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,28.6,1074.72,0,0,0,0,57.21,232.93,0,1818.45,0,0,0,0,0,0,0,0,0
72hpf,54.56,29.95,0,14.98,11.77,35.3,0,0,0,0,3.21,0,0,0,0,3.21,0,3.21,44.93,7.49,654.71,0,3.21,6.42,0,173.31,80.23,1.07,5636.73,0,1.07,20.33,0,0,53.49,0,0,0
21Day,24.09,4.02,1.34,22.76,4.02,26.77,0,2.68,0,0,0,0,0,4.02,0,5.35,2.68,4.02,22.76,9.37,472.5,0,1.34,25.43,0,22.76,26.77,0,1595.53,12.05,2.68,1.34,1.34,8.03,24.09,0,0,4.02
3Month,1.6,4.48,4.16,17.6,0.32,0,0.32,0,3.52,1.6,3.2,0,0,15.68,4.16,1.6,7.68,1.28,6.08,15.04,312.59,5.44,0.32,3.52,0.64,1.6,0,0.96,29.44,3.2,24.32,0.32,0,0,5.76,262.04,5.12,6.08
22Month,0,4.37,0.55,13.67,0.55,0,3.28,0.55,1.64,0.55,2.73,15.31,0,39.91,1.09,2.19,0.55,0,3.83,19.68,93.48,0,0,0.55,0,1.64,0.55,1.64,5.47,0,37.17,0,0,0,2.19,52.48,0,1.09
