stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,T_cell
72hpf,0,0,0,0,1.07,2.14,0
21Day,2.68,0,0,1.34,0,1.34,0
22Month,0,0.55,0.55,0,0,0,0.55
