stage,Cardiomyocyte,Fibroblast,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,4.09,0,8.17,4.09,0,0
72hpf,0,0,0,2.14,7.49,2.14,5.35,5.35,0,0
21Day,1.34,0,0,0,14.72,2.68,0,12.05,2.68,0
3Month,0,0,0,0,0,0,0,0,0,0.64
22Month,0,0.55,1.09,0.55,0.55,0,0,0,0,0
