stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,12.26,0,16.35,0,0,0,0,0,0,4.09,0,0,0,0,0,0,12.26,28.6,61.3,0,0,0,0,8.17,73.56,0,0,8.17,0,0,0,0,0,0,0
72hpf,1.07,11.77,0,7.49,0,1.07,0,0,0,0,1.07,0,0,0,2.14,0,3.21,13.91,0,28.88,0,3.21,0,0,7.49,8.56,0,0,21.4,1.07,0,0,0,0,0,2.14
21Day,0,9.37,0,17.4,0,5.35,0,1.34,0,0,5.35,0,0,0,40.16,0,4.02,4.02,5.35,25.43,0,0,2.68,0,2.68,0,1.34,0,22.76,6.69,0,2.68,0,0,0,85.67
3Month,1.28,10.88,0.32,18.88,0.64,0,1.92,0,0.96,1.92,24.32,0,9.6,4.8,8,4.16,1.92,8,9.6,173.73,39.67,0,3.2,0.96,2.88,0.96,1.6,0.64,0.96,2.24,39.67,0,0.32,5.76,9.28,114.22
22Month,0,6.01,0,6.01,0,0,3.28,0,0.55,0,31.16,1.09,24.6,1.64,3.83,6.56,1.64,0.55,11.48,42.09,1.64,2.19,1.64,0,0,0.55,1.64,1.64,0,0.55,22.41,0,0,0,0,100.04
