stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,12.26,0,0,0
72hpf,1.07,0,0,0,0,0,1.07,0,0,6.42,4.28,1.07,0,0
21Day,0,4.02,0,0,1.34,0,1.34,5.35,0,1.34,0,0,0,0
3Month,0,0.96,0.96,0,0,1.28,0.32,0,0,0,0,0,0.32,0
22Month,0,0,0,1.09,0,0.55,0,0,0.55,0,0,0,0,0.55
