stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,200.23,44.95,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,59.91,8.56,21.4,9.63,47.07,0,2.14,0,0,1.07,0,0,0,0,11.77,70.61,7.49,52.42,0,4.28,1.07,3.21,6322.47,449.31,9.63,71.68,0,87.72,1.07,0,145.49,5.35,6.42,8.56,0,0
21Day,17.4,0,48.19,0,34.8,0,5.35,0,0,1.34,4.02,1.34,14.72,10.71,5.35,34.8,6.69,54.88,1.34,0,2.68,0,2072.05,151.25,4.02,28.11,0,22.76,54.88,1.34,46.85,12.05,13.39,6.69,0,8.03
3Month,0,0,4.48,0.32,0,0.96,0,0.32,0.64,0.32,10.88,1.28,0.32,2.24,0.32,0.96,1.6,7.68,3.52,0.64,0.64,0.96,22.4,1.6,1.6,31.04,0,0.32,0.96,1.6,3.84,0,0,0.32,0.96,1.28
22Month,0,1.64,1.64,0.55,0,0,0,0,0,4.37,30.07,0,0.55,3.28,0,1.09,3.28,8.75,2.19,0,1.09,0,40.45,2.19,3.83,47.56,0.55,0,0.55,0,15.85,0.55,0,0,0,0.55
