stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,61.3,16.35,12.26,0,0,0,0,0,77.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,8.56,1.07,1.07,0,0,0,0,0,0,0,0,0,3.21,22.47,0,7.49,0,1.07,1.07,0,31.02,16.05,0,1.07,0,2.14,0,0,0,2.14,0,1.07,1.07,0,0,0
21Day,1.34,0,24.09,0,1.34,0,0,0,0,0,0,0,5.35,0,6.69,20.08,2.68,0,1.34,0,1.34,0,10.71,10.71,1.34,0,0,0,4.02,0,0,2.68,0,1.34,0,0,0,0
3Month,0,0.32,7.68,0,0,0,0,0.64,1.92,0,2.88,6.4,0.32,0.32,1.28,0.64,2.24,0.96,0,0,0.64,0.32,0.32,0,0.32,0.32,0,0,0,0.32,0.64,0.32,0,0,0,0.32,0.64,1.28
22Month,0,0.55,6.56,0,0,0.55,0.55,0.55,12.57,0,23.51,6.01,1.09,0,1.09,0.55,3.28,1.09,0,0,0,0,0,0,0,0,0.55,0,0,0,0,1.09,0.55,0,0,0,0,1.09
