stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Spermatocyte,T_cell
24hpf,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,4.09,32.69,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,2.14,6.42,0,0,0,0
21Day,4.02,0,9.37,1.34,0,1.34,0,1.34,0,1.34,1.34,1.34,1.34,2.68,2.68,0,1.34,6.69,1.34,1.34,6.69,0,1.34
3Month,0,0,0.64,0,0.32,0,0.64,4.8,0.32,0,1.6,0,1.28,0,1.28,0.32,0.32,0,0,0,0,0.32,0.96
22Month,0,0.55,0,0,0,0,0,13.67,0.55,0,0,0.55,0,0.55,1.64,0,0,0,0,0,0,0,0.55
