stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,4.09,8.17,8.17,0,0,0,0,0,0,0,0,24.52,0,12.26,294.22,0,0,0,0,0,0
72hpf,4.28,0,5.35,2.14,0,0,0,0,0,0,1.07,8.56,0,90.93,42.79,0,8.56,0,1.07,1.07,0
21Day,0,0,2.68,4.02,1.34,0,0,0,0,0,1.34,6.69,1.34,12.05,10.71,1.34,1.34,0,1.34,0,0
3Month,0,0.32,0.32,0,0,0.32,0,1.92,0.32,0.32,0.32,0.64,0.32,0,0,0,0,0.64,0,0,0
22Month,0,0,0.55,0,0.55,0,0.55,3.83,0,0,0,0.55,0,0,0,0.55,0,0,0,0,0.55
