stage,Enterocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_progenitor_cell
24hpf,0,49.04,0,0,0,4.09,4.09
72hpf,0,2.14,0,0,1.07,0,0
22Month,0.55,0,0.55,0.55,0,0,0
