stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,12.26,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,24.52,0,0,0,8.17,249.27,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,16.05,1.07,10.7,5.35,5.35,0,4.28,0,1.07,0,0,0,0,9.63,0,5.35,17.12,0,59.91,0,5.35,1.07,512.43,457.87,0,2.14,0,37.44,1.07,0,26.74,3.21,1.07,2.14,0
21Day,10.71,0,8.03,1.34,4.02,0,4.02,0,0,0,0,0,0,13.39,0,2.68,1.34,1.34,13.39,0,0,1.34,41.49,44.17,0,2.68,0,2.68,1.34,1.34,2.68,2.68,1.34,0,1.34
3Month,0.32,0.64,18.24,0,0,0,0.64,0,0.96,0,0,3.52,1.28,0.64,1.92,1.28,0.64,2.24,2.88,0.64,0,1.28,0.64,0.32,1.6,0,0,0.64,0.32,8.64,0,0.32,0,0,6.4
22Month,0,1.64,4.92,0,0,0.55,2.73,0.55,3.28,3.28,0,33.89,0,2.19,2.73,0.55,0,0.55,0.55,0,1.09,0.55,0.55,0,0.55,0,0.55,0,0,1.09,0,0,0,0,1.64
