stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,12.84,2.14,0,7.49,26.74,13.91,0,0,0,0,0,0,0,2.14,28.88,4.28,13.91,0,2.14,1.07,1248.45,38.51,0,39.58,21.4,0,0,9.63,0,1.07,0,0,0,0
21Day,8.03,0,1.34,6.69,12.05,9.37,0,2.68,0,0,0,1.34,2.68,0,9.37,1.34,22.76,0,1.34,1.34,329.28,8.03,1.34,24.09,4.02,9.37,2.68,1.34,0,0,4.02,0,0,2.68
3Month,0,0.32,0,11.2,0.96,0,0.32,0,0.96,6.4,1.6,0.32,0.64,0.64,2.24,2.88,7.68,1.6,0.96,3.2,7.68,0.64,2.24,10.24,0,0,6.08,0,0,0,0.32,0.32,0.32,0.96
22Month,0,0.55,0,1.09,1.09,0,0,0,1.09,19.68,1.09,0,1.09,0,0,2.19,11.48,1.09,0,0.55,5.47,0.55,2.73,4.37,0,0,10.39,0.55,0.55,0,0,0,0,0.55
