stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,2.14,0,1.07,0,0,0,1.07,0,1.07,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,1.34,0,0,2.68,4.02,0,0,1.34,0,0,1.34,0,1.34,0,0,0
3Month,0.32,0.32,4.8,0.32,0.64,3.52,0.64,0,6.4,0.64,0.32,1.28,0.32,1.28,0,0,0.32,0.32,4.8,0,0.64,0.32,0.64
22Month,0,0.55,0,0,0,4.37,0,0,4.92,0,0,0.55,0,0,0.55,0,0.55,0,4.92,0,0,0,0
