stage,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,0,4.09,0,0,0,0
72hpf,1.07,0,1.07,2.14,1.07,1.07
21Day,0,0,0,1.34,0,0
