stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,7.49,0,0,0,1.07,0,0,1.07,0,0
21Day,1.34,5.35,1.34,0,0,0,0,0,0,0,0,6.69,1.34,2.68,0,5.35,1.34,0,0,1.34,2.68,0,0,1.34,0
3Month,0.32,4.8,0,0.64,1.6,4.16,0.64,0.32,2.88,2.24,0.64,51.19,7.68,0,3.52,0.32,0,1.28,0,0,0.64,30.08,0,16.96,1.28
22Month,0,2.73,0,0,1.64,3.83,0,0,2.73,0,0,3.83,0.55,0,0,0,0,0,0.55,0,0,10.93,0,0,0
