stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.32,0,0.64,16,0,0.32,0.32,0,1.28,0.32,2.88,1.6,0.32,0.32,8,0,0.32,0.32,0.32,0.32
22Month,0,0.55,0,12.57,0.55,0.55,1.64,0.55,6.01,0.55,3.83,7.65,0,0.55,0.55,0,0,0,0,0.55
