stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,28.6,0,0,0,0,0,4.09,0,0,0,0,0,0,77.64,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,12.84,2.14,0,0,0,0,0,1.07,0,0,0,2.14,43.86,20.33,1.07,0,1.07,0,0,14.98,4.28,1.07,0,0,4.28,0,0,1.07,0,8.56,0,0,0
21Day,0,0,1.34,25.43,4.02,0,0,4.02,0,0,4.02,0,6.69,0,1.34,9.37,54.88,1.34,0,0,0,0,9.37,1.34,0,0,0,4.02,0,0,1.34,1.34,2.68,0,0,1.34
3Month,0,0.64,0,22.08,0,0.32,1.28,11.2,0,0,25.92,3.84,0.32,9.6,2.24,11.84,47.99,1.92,0.32,0,0.64,2.56,0.64,0,1.6,0.32,0,0,0.32,5.76,0.32,0,0,0.96,3.84,2.24
22Month,0.55,1.64,0,9.84,0,0.55,0,43.19,0.55,0,81.45,2.73,1.09,9.84,0.55,2.73,48.65,1.64,0,4.37,0,0,0,0.55,1.09,0.55,0.55,0,0,4.92,1.09,0,0,0,0,1.64
