stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,20.43,0,0,0,0,12.26,237.01,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,4.28,2.14,1.07,0,0,0,0,0,0,0,0,4.28,5.35,0,4.28,0,0,1.07,0,79.16,59.91,0,2.14,0,7.49,0,0,13.91,2.14,0,0
21Day,2.68,0,0,5.35,0,2.68,0,1.34,0,0,0,0,1.34,1.34,0,5.35,1.34,13.39,0,0,1.34,0,28.11,41.49,1.34,0,0,6.69,2.68,0,4.02,0,0,0
3Month,0,0.32,0.32,8,0,0,0,0.96,0,0,28.48,0.96,0,0.32,0.64,3.2,1.6,6.72,0.32,0,0.96,4.48,0.64,0.32,0.64,0,0,0.64,0.64,1.92,1.28,0,4.16,0.64
22Month,0,1.09,0.55,2.19,0,0,1.09,3.28,5.47,0,165.09,0.55,0.55,1.64,1.09,0,1.09,9.84,0.55,1.64,0.55,0.55,0.55,0,1.09,0,0.55,0,1.09,1.09,8.75,0.55,0,0.55
