stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,1.34,0,1.34,0,0,1.34,5.35,1.34,0,0,2.68,0,1.34,0,0,0,0,0,0,0,0,16.06
3Month,0.32,0.96,0,4.16,0,1.28,0,4.16,15.68,1.28,0.96,0.32,0.96,5.76,1.6,0.64,0,0,0.32,0,0.32,0.64,1.6,0.32,0,0.32,0.32,61.43,40.31
22Month,0.55,1.64,0.55,2.73,0.55,2.19,1.64,44.83,8.2,2.19,9.84,0,0,9.29,3.28,0.55,1.64,0,0,0.55,0,0,3.28,0.55,0.55,0,0,0,21.87
