stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,11.77,2.14,0,0,0,0,0,0,1.07,3.21,0,0,0,7.49,2.14,0,0,4.28,0,0,0,0,0,0,0
21Day,0,0,1.34,10.71,1.34,0,0,0,0,0,0,0,1.34,0,0,0,4.02,0,0,0,4.02,0,1.34,0,1.34,0,0,0
3Month,0,0,7.68,2.24,0,0.32,0,5.44,1.28,1.28,0.32,0.64,0.96,0.32,0.32,0.32,0,0,0.32,0,0,0,55.35,0.32,0,0.96,15.36,0.64
22Month,0.55,0.55,0.55,0,0,1.09,0,9.84,0,0,0,0.55,1.64,0,0,0,0,0,0,0.55,0,0.55,8.75,0,0,0,0,0.55
