stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,20.43,0,232.93,24.52,0,0,4.09,0,0,0,0,0,0,4.09,8.17,16.35,1949.21,0,0,0,0,24.52,551.66,0,0,0,196.15,0,0,0,0,0,0,0,0,0
72hpf,542.38,0,0,26.74,43.86,17.12,0,0,0,0,0,0,0,0,1.07,35.3,3.21,961.74,0,1.07,8.56,3.21,84.51,98.42,0,0,0,290.98,0,0,16.05,0,1.07,1.07,0,0,0
21Day,610.37,0,0,16.06,16.06,13.39,0,2.68,0,0,0,1.34,0,1.34,0,6.69,1.34,175.35,0,0,13.39,0,29.45,37.48,0,0,0,29.45,17.4,2.68,1.34,2.68,6.69,2.68,0,0,1.34
3Month,1.28,3.2,0.96,38.07,9.6,0,1.6,0,1.92,2.88,0,10.56,1.92,4.48,1.6,7.04,5.12,57.91,0.96,0,4.16,2.88,2.88,2.24,0.96,2.24,0,0.32,1.6,77.11,0.64,0,0,0.96,135.66,2.56,1.92
22Month,2.19,3.83,0,34.99,8.75,0,1.09,3.28,0,0.55,10.93,26.24,1.09,7.65,0.55,8.2,2.73,29.52,0,1.64,3.83,0,0.55,0.55,2.73,0.55,0.55,0,2.19,37.72,0.55,0,0,0,183.68,0,1.09
