stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Primordial_germ_cell,Spermatocyte
3Month,0.64,0,0,0.32,0.64,0.32,2.56,0.32,0.32,0.96
22Month,0,0.55,0.55,0,1.64,0,0,0.55,0,0
