stage,Cardiomyocyte,Enterocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0
21Day,1.34,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0,0,0,2.24,0.32,1.28,0,0,0.32,0.32,0,0,1.28,0.32,0.32
22Month,0,0.55,0.55,0.55,9.84,0.55,2.19,1.09,0,0,0,0,0,1.09,0,0
