stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,36.78,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,1.07,0,26.74,1.07,0,0,0,0,0,0
21Day,1.34,0,0,2.68,1.34,0,0,0,1.34,0,4.02,1.34,10.71,0,2.68,0,4.02,0,0,0
3Month,0,0.32,0,1.28,0,0,1.92,0,0.32,0,0.32,0,0.32,0,0,5.44,0,0,1.28,0.32
22Month,0,0,0.55,0.55,0,0.55,5.47,0.55,0,0,0.55,0,0,0,0,1.09,0,0.55,0,0
