stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,4.09,16.35,0,0,0,0,0,0,0,0
72hpf,56.7,0,0,3.21,14.98,1.07,0,0,0,0,0,0,0,0,0,0,6.42,0,31.02,0,276.01,7.49,0,53.49,0,0,2.14,2.14,0,0
21Day,10.71,0,0,8.03,12.05,1.34,0,0,0,0,0,0,0,1.34,1.34,0,0,0,64.25,2.68,46.85,5.35,0,36.14,2.68,0,0,0,0,0
3Month,0.96,0,0.32,1.28,2.24,0,0.32,0.32,0.32,0,0,8.96,1.6,0,0.96,0.32,1.92,0.96,3.2,0.32,0.32,0,0.96,0.96,0,1.92,0.32,0,0.32,1.6
22Month,1.64,1.09,0,1.64,0,0,0,0.55,1.64,0.55,0,41,0.55,0,1.09,0,0.55,1.09,3.28,0,0,0,0,0,0,0,0,0,0,0.55
