stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,93.99,0,4.09,0,0,4.09,12.26,0,0,0,0,0,0,0
72hpf,0,0,16.05,3.21,0,0,0,0,0,0,0,1.07,162.61,0,5.35,0,0,13.91,4.28,2.14,1.07,0,1.07,0,0,0
21Day,4.02,0,124.48,2.68,0,1.34,0,0,1.34,0,0,5.35,224.87,0,2.68,1.34,0,6.69,2.68,0,5.35,0,1.34,0,0,0
3Month,0,0.32,109.1,0,0.32,0,0.32,0.96,1.6,0.32,1.92,1.28,0.96,0.96,0.64,0,0.32,0,0,0,0.64,1.28,0,0.64,0.64,0.64
22Month,0,0,9.29,0,0.55,0,0,0,1.64,0,1.64,0,0,0,0,0,0,0,0,0,0,5.47,0,0,0,0
